name,rating,appearances,likeability
Norman Panama,73.88709616426065,4,59.608902523757095
John Rice,67.9653568798343,4,59.529909371999096
Mysskin,63.57278397671987,4,59.52727299529523
Gregory Nava,69.87034754098656,4,59.48214322331705
Peter Viertel,72.17754790072568,4,59.43818670700639
Balakumaran,85.16999295181068,3,59.43397643924031
Siva,59.39550291441876,5,59.399453684182156
Colin Higgins,88.88732953660299,3,59.390188902845864
Thomas Rickman,73.89145693611432,4,59.31482320560694
Karan Johar,82.52839238148309,3,59.3131898604623
Lucinda Coxon,86.03241416594726,3,59.28591875005499
Horace McCoy,76.8471152135589,4,59.24790902295114
James O'Barr,90.79689232685972,3,59.23526607528554
Anthony Jaswinski,74.2326013937547,4,59.13581543637483
Seth Grahame-Smith,86.90626313504764,3,59.052913524160886
Joe Barton,72.27425186383483,4,59.03985183129178
Aki Kaurismäki,69.0021752709201,4,58.967574171984886
Tyler Gillett,80.7200793828459,3,58.955569657274715
Jo Eisinger,75.41981960791944,4,58.906195053663645
Ann Peacock,88.86521811953095,3,58.90449983497628
Pierre Boileau,89.76535464590997,3,58.881373287949614
Kevin Bernhardt,73.72771048193286,4,58.83041231065356
Ralph Bakshi,59.17377015125186,5,58.721508782428494
Ted Sherdeman,71.99134367285126,4,58.69579422411909
Victor Levin,70.3147616230065,4,58.69119446519096
Angelo Pizzo,82.88167504030253,3,58.65659491501092
Bill Kelly,86.51967656130984,3,58.60593005136904
Crane Wilbur,60.5465623727448,5,58.53967824733062
Preston A. Whitmore II,57.70199658880838,7,58.536560905605604
Sidney Sheldon,67.23548471542614,4,58.521457751541924
Christian Gudegast,81.19372212847897,3,58.50995299870122
Maya Forbes,66.79437360843124,4,58.495164624005994
Stephen Susco,70.07765461349302,4,58.475935069597305
Dennis Shryack,69.25669796734542,4,58.427231331451
Lawrence Edward Watkin,63.98441497609164,5,58.3759786916915
Chris Gerolmo,89.72242600711047,3,58.305506387888926
Mark Polish,63.2724718179411,4,58.24881553003436
Tom DiCillo,73.89145693611432,4,58.22715730795958
Frank Tashlin,53.206317216794574,6,58.171003867736786
Jean-Pierre Jeunet,86.26308966959064,3,58.147158362202454
Horton Foote,67.93124902799771,4,58.13493274746411
Derek Connolly,81.03385658294195,3,58.129901949606484
Fritz Lang,70.32993180213987,4,58.10027109741312
Scott Frank,83.74800759031311,3,58.036140916870735
Espen Sandberg,82.03967254919479,3,58.02050559727256
Frances Marion,67.68008095338517,4,57.99926896256606
Arnold Schulman,68.33406411249928,4,57.98529663119158
Richard O'Brien,88.14659172846422,3,57.97279276182929
John Herzfeld,66.00064753490273,4,57.945472592351926
Jules Feiffer,66.30893245510572,4,57.893245491819656
Paul Dehn,65.91755104497076,4,57.8367364117354
M.J. Bassett,68.30910979279622,4,57.83521850267064
Robert Bloch,58.926169736434666,5,57.75112662485093
Mike Clattenburg,67.25620291875008,4,57.7424015265935
Tom O'Connor,85.09566654559842,3,57.7018028332081
Joe David Brown,87.13901333360678,3,57.67026108167121
Claire Denis,61.74793169410826,4,57.6318266321971
Moira Buffini,83.02774280274805,3,57.587293655821185
Heywood Gould,66.96739855928747,4,57.562853832519195
Marc Norman,87.46774944894395,3,57.56228626380268
David Berenbaum,87.33269847920263,3,57.55238253686573
Alex Cox,72.61443827247305,3,57.451062453886166
Michael Brandt,86.15126547151809,3,57.42828656144492
Bruce A. Evans,87.00425118347226,3,57.37916899637264
Michael Schiffer,84.87165529702379,3,57.378289406630095
Danny McBride,81.74710269483441,3,57.34113453251291
Robert Rossen,68.00701871847411,4,57.339606138592394
Scott Derrickson,84.38129172878267,3,57.316321116336304
