name,rating,appearances,likeability
Roy William Neill,61.60618011290054,8,78.65294715350443
Trevante Rhodes,93.37454899304186,4,78.63955272275854
Anwar Khan,64.91832573846229,15,78.6186455159893
John Hodiak,78.09038842816145,6,78.60651026104088
Rachel Griffiths,76.11348186080485,6,78.59467744298442
Pierre Boulle,100.05721378817229,4,78.58315517646186
Iko Uwais,70.14437753732497,6,78.56941940570468
Elizabeth Debicki,95.3880098725607,4,78.56710655702098
Brian Robbins,69.78657839056301,7,78.56469459202208
Jim Sharman,88.14659172846422,4,78.56363301421342
Barré Lyndon,73.43891952206774,7,78.56131414247699
Shatrughan Sinha,59.15250252415388,19,78.54746106640302
Fernando Meirelles,89.00950006023699,4,78.546878840664
Matt O'Leary,69.64371549689096,7,78.52136033213695
George Macready,78.83853298154216,7,78.51418250596596
Vanessa Kirby,75.45269402923019,6,78.50555132036615
Allen Covert,78.15351161877328,5,78.49962481445685
Larry Gelbart,85.62683836089712,5,78.49038422824881
Martin Donovan,64.00236005135793,7,78.48361058193046
Pedro Pascal,80.11599561775222,5,78.4811643923381
Patrick Lussier,78.90451617288686,6,78.46239310477658
Christopher Cain,74.92667817345705,7,78.43205467776727
Angus Macfadyen,75.4245540362615,9,78.42049803448475
Taissa Farmiga,69.78657839056301,7,78.4189299769028
Vicky Kaushal,90.21721869787474,4,78.41740275092592
Matthew Marsden,86.42084211533734,7,78.41524184474709
Robert Getchell,79.40974450550009,5,78.39324426389281
Bibi Andersson,94.45689830771687,5,78.36772062870155
Samantha Eggar,70.1008780923812,8,78.35693745205324
Steve Stanulis,64.17310428427139,6,78.3498478022406
Joss Ackland,72.13316513655565,8,78.33664002988922
Isabel Coixet,74.9370701684925,6,78.32924186991991
Terry Zwigoff,85.37530325887853,4,78.32498947332877
Kasi Lemmons,67.09462199222388,6,78.32102129751601
Nikolaj Lie Kaas,71.6345456090422,6,78.30708912784564
Charles Dickens,79.36983839090543,5,78.30566844018557
Greg Sestero,87.10094133874742,8,78.30225375466239
Lucille Ball,64.56602654561364,7,78.29999866196022
Alan B. McElroy,71.58029694718844,7,78.29763513192226
Richard Jaeckel,71.30511037826012,9,78.2801744368898
Mena Suvari,58.81688105381545,12,78.26198478975282
Alice Krige,70.3147616230065,7,78.24619008282536
Michael Rennie,65.42682672756014,10,78.23566171984696
Nivetha Thomas,74.837576345215,6,78.2281792863822
Ornella Muti,68.49035969271782,7,78.20268869594435
Ed Decter,89.72877093988555,5,78.1754949192765
Craig Gillespie,91.91147107274705,4,78.16307308527463
Scott Bakula,74.6826877627299,6,78.16001705903008
Dave Callaham,80.84763087391767,5,78.15567480078766
Bill Finger,103.9916920338105,4,78.14319017195406
Zoë Bell,87.99501031382658,8,78.14067244748964
Billy Dee Williams,62.3919715809776,10,78.1190007807497
Jeanne Tripplehorn,80.22710996898645,5,78.1169378958097
Michael J. Wilson,98.03302562262584,4,78.08923655141754
Sophia Myles,73.84119318343224,6,78.08577282215819
Debra Paget,59.31955836785092,11,78.05826616969303
Bai Ling,70.47511038389662,12,78.03778462431492
Oscar Saul,91.48661449620795,5,78.02377414474677
Ana Lily Amirpour,72.1954130492537,6,78.01946435569715
Robert Klane,69.97188460619064,7,78.01514951740826
Richard Eyre,83.3570343819708,5,78.01253192867853
Nelson Dilipkumar,72.1185411006326,6,77.95814802633818
Waheeda Rehman,72.74164213558643,7,77.93016220238079
Edward Anhalt,75.00328274465791,7,77.92439966621417
Tamra Davis,74.78477942822488,6,77.92007994205785
Neal McDonough,63.74582336854223,11,77.92004757338631
John Michael Hayes,75.50668320953096,6,77.90786245275535
